--------- beginning of system
12-07 03:29:22.336 14428 14428 E AndroidRuntime: 	at com.evancharlton.mileage.views.CursorSpinner.filter(CursorSpinner.java:38)
12-07 03:29:22.336 14428 14428 E AndroidRuntime: 	at com.evancharlton.mileage.views.CursorSpinner.<init>(CursorSpinner.java:32)
12-07 03:29:22.336 14428 14428 E AndroidRuntime: 	... 37 more
12-07 03:29:22.373  1629  1629 E lowmemorykiller: Error writing /proc/14428/oom_score_adj; errno=22
12-07 03:29:22.991  1610 14447 E audio_hw_generic: pcm_open(in) failed: cannot open device '/dev/snd/pcmC0D0c': Device or resource busy: channels 2 format 0 rate 16000
12-07 03:29:23.624 14450 14450 E harlton.mileag: Not starting debugger since process cannot load the jdwp agent.
12-07 03:29:23.960 14450 14450 E SQLiteLog: (1) near "null": syntax error
12-07 03:29:23.999 14450 14450 E SQLiteLog: (1) near "null": syntax error
12-07 03:29:24.010 14450 14450 E AndroidRuntime: FATAL EXCEPTION: main
12-07 03:29:24.010 14450 14450 E AndroidRuntime: Process: com.evancharlton.mileage, PID: 14450
12-07 03:29:24.010 14450 14450 E AndroidRuntime: java.lang.RuntimeException: Unable to start activity ComponentInfo{com.evancharlton.mileage/com.evancharlton.mileage.Mileage}: java.lang.RuntimeException: Unable to start activity ComponentInfo{com.evancharlton.mileage/com.evancharlton.mileage.FillupActivity}: android.view.InflateException: Binary XML file line #5: Binary XML file line #5: Error inflating class com.evancharlton.mileage.views.CursorSpinner
12-07 03:29:24.010 14450 14450 E AndroidRuntime: 	at android.app.ActivityThread.performLaunchActivity(ActivityThread.java:2913)
12-07 03:29:24.010 14450 14450 E AndroidRuntime: 	at android.app.ActivityThread.handleLaunchActivity(ActivityThread.java:3048)
12-07 03:29:24.010 14450 14450 E AndroidRuntime: 	at android.app.servertransaction.LaunchActivityItem.execute(LaunchActivityItem.java:78)
12-07 03:29:24.010 14450 14450 E AndroidRuntime: 	at android.app.servertransaction.TransactionExecutor.executeCallbacks(TransactionExecutor.java:108)
12-07 03:29:24.010 14450 14450 E AndroidRuntime: 	at android.app.servertransaction.TransactionExecutor.execute(TransactionExecutor.java:68)
12-07 03:29:24.010 14450 14450 E AndroidRuntime: 	at android.app.ActivityThread$H.handleMessage(ActivityThread.java:1808)
12-07 03:29:24.010 14450 14450 E AndroidRuntime: 	at android.os.Handler.dispatchMessage(Handler.java:106)
12-07 03:29:24.010 14450 14450 E AndroidRuntime: 	at android.os.Looper.loop(Looper.java:193)
12-07 03:29:24.010 14450 14450 E AndroidRuntime: 	at android.app.ActivityThread.main(ActivityThread.java:6669)
12-07 03:29:24.010 14450 14450 E AndroidRuntime: 	at java.lang.reflect.Method.invoke(Native Method)
12-07 03:29:24.010 14450 14450 E AndroidRuntime: 	at com.android.internal.os.RuntimeInit$MethodAndArgsCaller.run(RuntimeInit.java:493)
12-07 03:29:24.010 14450 14450 E AndroidRuntime: 	at com.android.internal.os.ZygoteInit.main(ZygoteInit.java:858)
12-07 03:29:24.010 14450 14450 E AndroidRuntime: Caused by: java.lang.RuntimeException: Unable to start activity ComponentInfo{com.evancharlton.mileage/com.evancharlton.mileage.FillupActivity}: android.view.InflateException: Binary XML file line #5: Binary XML file line #5: Error inflating class com.evancharlton.mileage.views.CursorSpinner
12-07 03:29:24.010 14450 14450 E AndroidRuntime: 	at android.app.ActivityThread.performLaunchActivity(ActivityThread.java:2913)
12-07 03:29:24.010 14450 14450 E AndroidRuntime: 	at android.app.ActivityThread.startActivityNow(ActivityThread.java:2723)
12-07 03:29:24.010 14450 14450 E AndroidRuntime: 	at android.app.LocalActivityManager.moveToState(LocalActivityManager.java:139)
12-07 03:29:24.010 14450 14450 E AndroidRuntime: 	at android.app.LocalActivityManager.startActivity(LocalActivityManager.java:366)
12-07 03:29:24.010 14450 14450 E AndroidRuntime: 	at android.widget.TabHost$IntentContentStrategy.getContentView(TabHost.java:774)
12-07 03:29:24.010 14450 14450 E AndroidRuntime: 	at android.widget.TabHost.setCurrentTab(TabHost.java:428)
12-07 03:29:24.010 14450 14450 E AndroidRuntime: 	at android.widget.TabHost.addTab(TabHost.java:238)
12-07 03:29:24.010 14450 14450 E AndroidRuntime: 	at com.evancharlton.mileage.Mileage.onCreate(Mileage.java:31)
12-07 03:29:24.010 14450 14450 E AndroidRuntime: 	at android.app.Activity.performCreate(Activity.java:7136)
12-07 03:29:24.010 14450 14450 E AndroidRuntime: 	at android.app.Activity.performCreate(Activity.java:7127)
12-07 03:29:24.010 14450 14450 E AndroidRuntime: 	at android.app.Instrumentation.callActivityOnCreate(Instrumentation.java:1271)
12-07 03:29:24.010 14450 14450 E AndroidRuntime: 	at android.app.ActivityThread.performLaunchActivity(ActivityThread.java:2893)
12-07 03:29:24.010 14450 14450 E AndroidRuntime: 	... 11 more
12-07 03:29:24.010 14450 14450 E AndroidRuntime: Caused by: android.view.InflateException: Binary XML file line #5: Binary XML file line #5: Error inflating class com.evancharlton.mileage.views.CursorSpinner
12-07 03:29:24.010 14450 14450 E AndroidRuntime: Caused by: android.view.InflateException: Binary XML file line #5: Error inflating class com.evancharlton.mileage.views.CursorSpinner
12-07 03:29:24.010 14450 14450 E AndroidRuntime: Caused by: java.lang.reflect.InvocationTargetException
12-07 03:29:24.010 14450 14450 E AndroidRuntime: 	at java.lang.reflect.Constructor.newInstance0(Native Method)
12-07 03:29:24.010 14450 14450 E AndroidRuntime: 	at java.lang.reflect.Constructor.newInstance(Constructor.java:343)
12-07 03:29:24.010 14450 14450 E AndroidRuntime: 	at android.view.LayoutInflater.createView(LayoutInflater.java:647)
12-07 03:29:24.010 14450 14450 E AndroidRuntime: 	at android.view.LayoutInflater.createViewFromTag(LayoutInflater.java:790)
12-07 03:29:24.010 14450 14450 E AndroidRuntime: 	at android.view.LayoutInflater.createViewFromTag(LayoutInflater.java:730)
12-07 03:29:24.010 14450 14450 E AndroidRuntime: 	at android.view.LayoutInflater.rInflate(LayoutInflater.java:863)
12-07 03:29:24.010 14450 14450 E AndroidRuntime: 	at android.view.LayoutInflater.inflate(LayoutInflater.java:489)
12-07 03:29:24.010 14450 14450 E AndroidRuntime: 	at android.view.LayoutInflater.inflate(LayoutInflater.java:423)
12-07 03:29:24.010 14450 14450 E AndroidRuntime: 	at android.view.LayoutInflater.inflate(LayoutInflater.java:374)
12-07 03:29:24.010 14450 14450 E AndroidRuntime: 	at com.evancharlton.mileage.BaseFormActivity.onCreate(BaseFormActivity.java:37)
12-07 03:29:24.010 14450 14450 E AndroidRuntime: 	at com.evancharlton.mileage.FillupActivity.onCreate(FillupActivity.java:72)
12-07 03:29:24.010 14450 14450 E AndroidRuntime: 	at android.app.Activity.performCreate(Activity.java:7136)
12-07 03:29:24.010 14450 14450 E AndroidRuntime: 	at android.app.Activity.performCreate(Activity.java:7127)
12-07 03:29:24.010 14450 14450 E AndroidRuntime: 	at android.app.Instrumentation.callActivityOnCreate(Instrumentation.java:1271)
12-07 03:29:24.010 14450 14450 E AndroidRuntime: 	at android.app.ActivityThread.performLaunchActivity(ActivityThread.java:2893)
12-07 03:29:24.010 14450 14450 E AndroidRuntime: 	at android.app.ActivityThread.startActivityNow(ActivityThread.java:2723)
12-07 03:29:24.011 14450 14450 E AndroidRuntime: 	at android.app.LocalActivityManager.moveToState(LocalActivityManager.java:139)
12-07 03:29:24.011 14450 14450 E AndroidRuntime: 	at android.app.LocalActivityManager.startActivity(LocalActivityManager.java:366)
12-07 03:29:24.011 14450 14450 E AndroidRuntime: 	at android.widget.TabHost$IntentContentStrategy.getContentView(TabHost.java:774)
12-07 03:29:24.011 14450 14450 E AndroidRuntime: 	at android.widget.TabHost.setCurrentTab(TabHost.java:428)
12-07 03:29:24.011 14450 14450 E AndroidRuntime: 	at android.widget.TabHost.addTab(TabHost.java:238)
12-07 03:29:24.011 14450 14450 E AndroidRuntime: 	at com.evancharlton.mileage.Mileage.onCreate(Mileage.java:31)
12-07 03:29:24.011 14450 14450 E AndroidRuntime: 	at android.app.Activity.performCreate(Activity.java:7136)
12-07 03:29:24.011 14450 14450 E AndroidRuntime: 	at android.app.Activity.performCreate(Activity.java:7127)
12-07 03:29:24.011 14450 14450 E AndroidRuntime: 	at android.app.Instrumentation.callActivityOnCreate(Instrumentation.java:1271)
12-07 03:29:24.011 14450 14450 E AndroidRuntime: 	at android.app.ActivityThread.performLaunchActivity(ActivityThread.java:2893)
12-07 03:29:24.011 14450 14450 E AndroidRuntime: 	at android.app.ActivityThread.handleLaunchActivity(ActivityThread.java:3048)
12-07 03:29:24.011 14450 14450 E AndroidRuntime: 	at android.app.servertransaction.LaunchActivityItem.execute(LaunchActivityItem.java:78)
12-07 03:29:24.011 14450 14450 E AndroidRuntime: 	at android.app.servertransaction.TransactionExecutor.executeCallbacks(TransactionExecutor.java:108)
12-07 03:29:24.011 14450 14450 E AndroidRuntime: 	at android.app.servertransaction.TransactionExecutor.execute(TransactionExecutor.java:68)
12-07 03:29:24.011 14450 14450 E AndroidRuntime: 	at android.app.ActivityThread$H.handleMessage(ActivityThread.java:1808)
12-07 03:29:24.011 14450 14450 E AndroidRuntime: 	at android.os.Handler.dispatchMessage(Handler.java:106)
12-07 03:29:24.011 14450 14450 E AndroidRuntime: 	at android.os.Looper.loop(Looper.java:193)
12-07 03:29:24.011 14450 14450 E AndroidRuntime: 	at android.app.ActivityThread.main(ActivityThread.java:6669)
12-07 03:29:24.011 14450 14450 E AndroidRuntime: 	at java.lang.reflect.Method.invoke(Native Method)
12-07 03:29:24.011 14450 14450 E AndroidRuntime: 	at com.android.internal.os.RuntimeInit$MethodAndArgsCaller.run(RuntimeInit.java:493)
12-07 03:29:24.011 14450 14450 E AndroidRuntime: 	at com.android.internal.os.ZygoteInit.main(ZygoteInit.java:858)
12-07 03:29:24.011 14450 14450 E AndroidRuntime: Caused by: android.database.sqlite.SQLiteException: near "null": syntax error (code 1 SQLITE_ERROR): , while compiling: INSERT INTO vehicle_types (null,description) VALUES ('Car','Passenger car');
12-07 03:29:24.011 14450 14450 E AndroidRuntime: 	at android.database.sqlite.SQLiteConnection.nativePrepareStatement(Native Method)
12-07 03:29:24.011 14450 14450 E AndroidRuntime: 	at android.database.sqlite.SQLiteConnection.acquirePreparedStatement(SQLiteConnection.java:903)
12-07 03:29:24.011 14450 14450 E AndroidRuntime: 	at android.database.sqlite.SQLiteConnection.prepare(SQLiteConnection.java:514)
12-07 03:29:24.011 14450 14450 E AndroidRuntime: 	at android.database.sqlite.SQLiteSession.prepare(SQLiteSession.java:588)
12-07 03:29:24.011 14450 14450 E AndroidRuntime: 	at android.database.sqlite.SQLiteProgram.<init>(SQLiteProgram.java:58)
12-07 03:29:24.011 14450 14450 E AndroidRuntime: 	at android.database.sqlite.SQLiteStatement.<init>(SQLiteStatement.java:31)
12-07 03:29:24.011 14450 14450 E AndroidRuntime: 	at android.database.sqlite.SQLiteDatabase.executeSql(SQLiteDatabase.java:1769)
12-07 03:29:24.011 14450 14450 E AndroidRuntime: 	at android.database.sqlite.SQLiteDatabase.execSQL(SQLiteDatabase.java:1698)
12-07 03:29:24.011 14450 14450 E AndroidRuntime: 	at com.evancharlton.mileage.provider.FillUpsProvider.initTables(FillUpsProvider.java:136)
12-07 03:29:24.011 14450 14450 E AndroidRuntime: 	at com.evancharlton.mileage.provider.FillUpsProvider$DatabaseHelper.onCreate(FillUpsProvider.java:122)
12-07 03:29:24.011 14450 14450 E AndroidRuntime: 	at android.database.sqlite.SQLiteOpenHelper.getDatabaseLocked(SQLiteOpenHelper.java:393)
12-07 03:29:24.011 14450 14450 E AndroidRuntime: 	at android.database.sqlite.SQLiteOpenHelper.getWritableDatabase(SQLiteOpenHelper.java:298)
12-07 03:29:24.011 14450 14450 E AndroidRuntime: 	at com.evancharlton.mileage.provider.FillUpsProvider.query(FillUpsProvider.java:240)
12-07 03:29:24.011 14450 14450 E AndroidRuntime: 	at android.content.ContentProvider.query(ContentProvider.java:1055)
12-07 03:29:24.011 14450 14450 E AndroidRuntime: 	at android.content.ContentProvider.query(ContentProvider.java:1147)
12-07 03:29:24.011 14450 14450 E AndroidRuntime: 	at android.content.ContentProvider$Transport.query(ContentProvider.java:240)
12-07 03:29:24.011 14450 14450 E AndroidRuntime: 	at android.content.ContentResolver.query(ContentResolver.java:802)
12-07 03:29:24.011 14450 14450 E AndroidRuntime: 	at android.content.ContentResolver.query(ContentResolver.java:752)
12-07 03:29:24.011 14450 14450 E AndroidRuntime: 	at android.content.ContentResolver.query(ContentResolver.java:710)
12-07 03:29:24.011 14450 14450 E AndroidRuntime: 	at com.evancharlton.mileage.views.CursorSpinner.filter(CursorSpinner.java:38)
12-07 03:29:24.011 14450 14450 E AndroidRuntime: 	at com.evancharlton.mileage.views.CursorSpinner.<init>(CursorSpinner.java:32)
12-07 03:29:24.011 14450 14450 E AndroidRuntime: 	... 37 more
12-07 03:29:24.086  1629  1629 E lowmemorykiller: Error writing /proc/14450/oom_score_adj; errno=22
12-07 03:29:24.471  1610 14469 E audio_hw_generic: pcm_open(in) failed: cannot open device '/dev/snd/pcmC0D0c': Device or resource busy: channels 2 format 0 rate 16000
12-07 03:29:26.127 14473 14473 E harlton.mileag: Not starting debugger since process cannot load the jdwp agent.
12-07 03:29:26.384 14473 14473 E SQLiteLog: (1) near "null": syntax error
12-07 03:29:26.421 14473 14473 E SQLiteLog: (1) near "null": syntax error
12-07 03:29:26.437 14473 14473 E AndroidRuntime: FATAL EXCEPTION: main
12-07 03:29:26.437 14473 14473 E AndroidRuntime: Process: com.evancharlton.mileage, PID: 14473
12-07 03:29:26.437 14473 14473 E AndroidRuntime: java.lang.RuntimeException: Unable to start activity ComponentInfo{com.evancharlton.mileage/com.evancharlton.mileage.Mileage}: java.lang.RuntimeException: Unable to start activity ComponentInfo{com.evancharlton.mileage/com.evancharlton.mileage.FillupActivity}: android.view.InflateException: Binary XML file line #5: Binary XML file line #5: Error inflating class com.evancharlton.mileage.views.CursorSpinner
12-07 03:29:26.437 14473 14473 E AndroidRuntime: 	at android.app.ActivityThread.performLaunchActivity(ActivityThread.java:2913)
12-07 03:29:26.437 14473 14473 E AndroidRuntime: 	at android.app.ActivityThread.handleLaunchActivity(ActivityThread.java:3048)
12-07 03:29:26.437 14473 14473 E AndroidRuntime: 	at android.app.servertransaction.LaunchActivityItem.execute(LaunchActivityItem.java:78)
12-07 03:29:26.437 14473 14473 E AndroidRuntime: 	at android.app.servertransaction.TransactionExecutor.executeCallbacks(TransactionExecutor.java:108)
12-07 03:29:26.437 14473 14473 E AndroidRuntime: 	at android.app.servertransaction.TransactionExecutor.execute(TransactionExecutor.java:68)
12-07 03:29:26.437 14473 14473 E AndroidRuntime: 	at android.app.ActivityThread$H.handleMessage(ActivityThread.java:1808)
12-07 03:29:26.437 14473 14473 E AndroidRuntime: 	at android.os.Handler.dispatchMessage(Handler.java:106)
12-07 03:29:26.437 14473 14473 E AndroidRuntime: 	at android.os.Looper.loop(Looper.java:193)
12-07 03:29:26.437 14473 14473 E AndroidRuntime: 	at android.app.ActivityThread.main(ActivityThread.java:6669)
12-07 03:29:26.437 14473 14473 E AndroidRuntime: 	at java.lang.reflect.Method.invoke(Native Method)
12-07 03:29:26.437 14473 14473 E AndroidRuntime: 	at com.android.internal.os.RuntimeInit$MethodAndArgsCaller.run(RuntimeInit.java:493)
12-07 03:29:26.437 14473 14473 E AndroidRuntime: 	at com.android.internal.os.ZygoteInit.main(ZygoteInit.java:858)
12-07 03:29:26.437 14473 14473 E AndroidRuntime: Caused by: java.lang.RuntimeException: Unable to start activity ComponentInfo{com.evancharlton.mileage/com.evancharlton.mileage.FillupActivity}: android.view.InflateException: Binary XML file line #5: Binary XML file line #5: Error inflating class com.evancharlton.mileage.views.CursorSpinner
12-07 03:29:26.437 14473 14473 E AndroidRuntime: 	at android.app.ActivityThread.performLaunchActivity(ActivityThread.java:2913)
12-07 03:29:26.437 14473 14473 E AndroidRuntime: 	at android.app.ActivityThread.startActivityNow(ActivityThread.java:2723)
12-07 03:29:26.437 14473 14473 E AndroidRuntime: 	at android.app.LocalActivityManager.moveToState(LocalActivityManager.java:139)
12-07 03:29:26.437 14473 14473 E AndroidRuntime: 	at android.app.LocalActivityManager.startActivity(LocalActivityManager.java:366)
12-07 03:29:26.437 14473 14473 E AndroidRuntime: 	at android.widget.TabHost$IntentContentStrategy.getContentView(TabHost.java:774)
12-07 03:29:26.437 14473 14473 E AndroidRuntime: 	at android.widget.TabHost.setCurrentTab(TabHost.java:428)
12-07 03:29:26.437 14473 14473 E AndroidRuntime: 	at android.widget.TabHost.addTab(TabHost.java:238)
12-07 03:29:26.437 14473 14473 E AndroidRuntime: 	at com.evancharlton.mileage.Mileage.onCreate(Mileage.java:31)
12-07 03:29:26.437 14473 14473 E AndroidRuntime: 	at android.app.Activity.performCreate(Activity.java:7136)
12-07 03:29:26.437 14473 14473 E AndroidRuntime: 	at android.app.Activity.performCreate(Activity.java:7127)
12-07 03:29:26.437 14473 14473 E AndroidRuntime: 	at android.app.Instrumentation.callActivityOnCreate(Instrumentation.java:1271)
12-07 03:29:26.437 14473 14473 E AndroidRuntime: 	at android.app.ActivityThread.performLaunchActivity(ActivityThread.java:2893)
12-07 03:29:26.437 14473 14473 E AndroidRuntime: 	... 11 more
12-07 03:29:26.437 14473 14473 E AndroidRuntime: Caused by: android.view.InflateException: Binary XML file line #5: Binary XML file line #5: Error inflating class com.evancharlton.mileage.views.CursorSpinner
12-07 03:29:26.437 14473 14473 E AndroidRuntime: Caused by: android.view.InflateException: Binary XML file line #5: Error inflating class com.evancharlton.mileage.views.CursorSpinner
12-07 03:29:26.437 14473 14473 E AndroidRuntime: Caused by: java.lang.reflect.InvocationTargetException
